policy,p999_latency_us,cvar999_us,load_regime
partition,2136.928934725465,2156.7528045861814,low
partition,1163.6657745436403,1195.1061388019498,low
partition,771.1142991863314,780.5046781848628,low
partition,969.6165538610559,978.9073590293515,low
partition,1110.0149071107294,1148.408873660505,low
partition,2205.3715291301187,2252.380043575881,low
partition,1144.067898725395,1183.2890649676442,low
partition,774.1406219237739,793.5041840429437,low
partition,887.1422444379357,923.039666076558,low
partition,1119.236992998136,1144.810283936877,low
partition,2168.694852784635,2276.8746524442267,low
partition,1213.3903907610772,1215.0375989688582,low
partition,813.4130530489766,821.5774543264226,low
partition,840.5235403647887,853.3598628163687,low
partition,1120.7773386785477,1151.8554881536102,low
partition,2271.979131522144,2298.2094915847215,low
partition,1142.467787507641,1165.1455031422993,low
partition,767.0190641637778,793.8527428035713,low
partition,1006.3568132624579,1075.8882516836293,low
partition,1118.1501682434468,1145.6821375365864,low
partition,2165.1614384545633,2175.7346772415685,low
partition,1200.2797339245803,1225.5702306846244,low
partition,781.8500995331428,796.9428802454656,low
partition,1032.0884119109808,1048.0799548561995,low
partition,1147.9521156717465,1158.356858970993,low
partition,2153.743118449021,2201.5725171981385,low
partition,1196.9276122260815,1250.9883783131443,low
partition,777.3299033338134,779.7690268530635,low
partition,922.4815819316732,955.5557218370038,low
partition,1140.4888779520863,1201.2564695938672,low
partition,2174.5525684110175,2232.251768924085,low
partition,1137.4515973635732,1165.2216496079145,low
partition,799.4893612018893,829.990720545211,low
partition,924.5913520995877,997.1489150643301,low
partition,1084.9694126215436,1095.7870992459475,low
partition,2111.9644880254004,2176.177703639326,low
partition,1174.8413959615486,1198.541200163078,low
partition,764.0756516875219,766.5151803298254,low
partition,955.5260832876287,982.175237086972,low
partition,1093.3411940607632,1111.498710356252,low
partition,2155.03439786945,2165.1702081065396,low
partition,1171.262495632901,1276.4982952060736,low
partition,781.913535855411,807.4649224466197,low
partition,896.6720069188304,924.2162355425442,low
partition,1077.8136755103135,1182.6055637573827,low
partition,2873.690213644576,2925.3002879999276,low
partition,1220.055233720642,1252.9448330941827,low
partition,775.7829445495411,785.4105511882063,low
partition,874.1097411762458,890.8633304640676,low
partition,1167.3290049325187,1184.05066300537,low
partition,2287.7087132813044,2378.686578345725,low
partition,1194.9184213857454,1213.5674621277763,low
partition,844.365089979441,855.237648438082,low
partition,924.4235516199705,940.1767000333507,low
partition,1102.3079021025958,1146.3709343907303,low
partition,2327.571721728784,2395.1415336286973,low
partition,1239.586861172162,1271.5745180603635,low
partition,777.3853074606253,787.6634021590762,low
partition,946.4510064528267,960.6050455786178,low
partition,1084.7912938982374,1120.5894785229443,low
partition,2132.748303070699,2254.0890056202293,low
partition,1158.5108430853809,1163.9241005615459,low
partition,839.0344944582056,856.4953720130644,low
partition,985.6473675411856,1008.4802325477799,low
partition,1071.7690841903773,1127.5138562236748,low
partition,2335.456374016417,2414.914176464882,low
partition,1123.2798644418078,1139.876799351472,low
partition,750.6587279564745,759.3299015659463,low
partition,971.2007752543451,1011.0716819865822,low
partition,1087.6006482925848,1106.1472125952087,low
partition,2280.3095307500685,2357.4445088888215,low
partition,1237.9922987517318,1277.5174674987609,low
partition,772.6325314530166,784.8823777585812,low
partition,918.5863048415894,931.4017231087394,low
partition,1055.3764509802036,1076.0660493079927,low
partition,2143.020829023671,2158.0342720851977,low
partition,1241.8922199679905,1269.5176968712308,low
partition,792.5315593147525,832.2091749362758,low
partition,904.0781890912923,925.5112876691592,low
partition,1118.3333037649068,1151.8506351005192,low
partition,2326.055894064009,2416.4178713933143,low
partition,1249.5822129956093,1275.9957627504555,low
partition,804.2981423730903,816.7449320577996,low
partition,958.1690248816017,971.7263985775846,low
partition,1154.42393754441,1161.6008933563144,low
partition,2192.7588119536194,2222.6107658829274,low
partition,1163.077644263747,1200.1775062070687,low
partition,780.4521185360848,792.2225146339151,low
partition,938.6772560932744,962.7430971459685,low
partition,1047.7526459968576,1064.3938212283483,low
partition,2309.521832974951,2367.983345837658,low
partition,1210.402556460435,1235.1367859844536,low
partition,760.246841842805,764.4967039238945,low
partition,931.7208738032119,960.2429287643714,low
partition,1086.1055409847013,1132.27644313285,low
partition,2535.66930799439,2604.776756645163,low
partition,1241.695353859087,1288.5153582539647,low
partition,766.653380825335,790.289974924624,low
partition,946.1270394111245,964.8024598395441,low
partition,1133.9806080160897,1173.5247988550634,low
partition,2207.375986417115,2299.4301659117746,low
partition,1159.5121271072344,1192.0862562625593,low
partition,801.3875465977852,810.178851633101,low
partition,919.316552402685,946.4993007750392,low
partition,1065.7703553873953,1089.8498092111304,low
partition,2210.9446169228167,2255.8705656716565,low
partition,1133.096957356095,1169.5412369735104,low
partition,832.717797277485,857.689948233704,low
partition,1205.8700939397613,1228.6017874627373,low
partition,1073.692879885744,1092.0511376773388,low
partition,2431.3124084411584,2493.73179325615,low
partition,1205.5306423813963,1263.5695677353106,low
partition,765.1827993445964,777.3593304168157,low
partition,873.6978182413922,888.0954159417449,low
partition,1149.4984380925207,1191.1906081497873,low
partition,2235.6803022393474,2303.41056484443,low
partition,1185.3231091624646,1205.4737834825535,low
partition,791.9214396013016,795.1017305137384,low
partition,978.7122165078542,1003.7718439002457,low
partition,1111.5836729088087,1174.5753757657092,low
partition,2288.6084266007706,2324.0711079594194,low
partition,1160.568112914292,1191.6260142629267,low
partition,780.4206850651352,787.6863556883075,low
partition,909.8938881138058,912.8595206726432,low
partition,1105.4777009965412,1129.849601663675,low
partition,2201.1395404515565,2261.4609544986893,low
partition,1131.0532919965722,1182.671539524727,low
partition,787.2144734232394,805.1970445423989,low
partition,931.3382888325541,950.1039826192499,low
partition,1112.7500547770658,1142.2226091345415,low
partition,2152.894551883004,2185.5615369359593,low
partition,1177.7819669999112,1213.2675226781103,low
partition,810.168586747414,814.1233456574358,low
partition,876.4667189948412,912.6622804157087,low
partition,1150.5677046236085,1163.3977545319067,low
partition,2229.1568700144444,2235.4496358718156,low
partition,1139.421792106037,1229.1130738155184,low
partition,775.9207161361181,780.1613552305238,low
partition,970.6806588912602,1004.3926476254028,low
partition,1104.0705120569644,1125.4493424712678,low
partition,2140.718239221211,2157.716137939248,low
partition,1189.8775425565912,1207.137970074397,low
partition,793.200988407347,802.7669233674767,low
partition,989.3356008169324,1004.3065992180253,low
partition,1078.2590241057562,1091.0002508500124,low
partition,2287.1165832785637,2352.1011544178195,low
partition,1165.5618319408075,1203.4323296531675,low
partition,771.7693603927831,786.4234949966307,low
partition,909.5502296042145,963.1904900224229,low
partition,1092.597899366749,1111.5795202092652,low
partition,2391.9346368699316,2405.3028748654842,low
partition,1126.4553006547264,1162.23175691713,low
partition,764.2479076094352,795.1515204731897,low
partition,878.2177648237491,890.0492736793152,low
partition,1157.450644699527,1192.8144774219204,low
partition,2143.4313566607957,2186.675700926578,low
partition,1105.0126412661346,1115.8133784847155,low
partition,777.8586085544945,787.8457965233865,low
partition,930.5248877271763,966.3541268709932,low
partition,1078.1870504410967,1091.959893527926,low
partition,2331.4906469982643,2403.106956210592,low
partition,1155.888997710234,1201.6828164889246,low
partition,823.1137787335097,840.3700959793539,low
partition,906.0187900316619,930.06643014671,low
partition,1064.7037357725583,1092.3081430616858,low
partition,2160.831958281194,2169.585242957436,low
partition,1165.6472083866136,1185.8437607135356,low
partition,769.8281533727531,812.4369225844923,low
partition,916.4588449424106,927.6669778538346,low
partition,1098.3913501431114,1108.5742230928222,low
partition,2054.2962566409706,2074.823675507747,low
partition,1152.5907106553943,1182.8785810792904,low
partition,799.3761286005888,840.7531871077758,low
partition,981.2205584125563,1030.3761146033416,low
partition,1107.6369800575592,1115.736171292933,low
partition,2124.1809914671317,2146.338004514556,low
partition,1249.1672519393242,1281.9429595751967,low
partition,783.8718920296022,798.387658754486,low
random,5944.104540184016,6038.168217643295,low
random,5849.673758631943,5859.306430067492,low
random,6717.963161732868,6855.097650192314,low
random,6080.554874861891,6086.60653275278,low
random,6535.656935590915,6566.556692614382,low
random,5246.165432005689,5271.139020468168,low
random,8051.811370324122,8094.520364659547,low
random,7152.563128916273,7345.620993656616,low
random,6267.097737805403,6283.689179275818,low
random,7471.43947672464,7480.649006375493,low
random,5619.751304403889,5695.402958251058,low
random,7962.161986679848,7994.487329622401,low
random,5145.924152635097,5198.197288576859,low
random,8059.292201155894,8068.600615657733,low
random,7264.685596248988,7278.96307103887,low
random,4970.265267813448,5032.33783446559,low
random,5915.224919086389,5924.656038830673,low
random,7876.876616937115,8043.420848583107,low
random,7099.096390350819,7120.575230749697,low
random,7604.049059593837,7634.739666873668,low
random,5127.69689653036,5141.093051849975,low
random,7776.394372262137,7800.244098507174,low
random,6628.314502894161,6652.08542387809,low
random,5984.9835075522005,5988.804629985645,low
random,7832.118447554406,7850.0572530931,low
random,5829.59669328724,5840.394223032614,low
random,5989.480696024318,5999.418862989262,low
random,6604.494034981497,6645.647006959231,low
random,6425.365628416161,6448.52860091124,low
random,5384.551568303273,5410.717971142541,low
random,5500.218120358963,5618.358712442439,low
random,6899.837063268595,6949.031536152608,low
random,7097.537924043307,7159.313702124685,low
random,6680.5360328829665,6764.747919149457,low
random,5882.850059486369,5904.206073493757,low
random,5967.042940658348,6013.768232764621,low
random,6209.465992804008,6236.34933132134,low
random,7307.413082187546,7399.389377408925,low
random,6446.2013770386275,6489.0712819170585,low
random,7031.431543865671,7060.5304391439495,low
random,4848.903072044111,4863.315224458068,low
random,10016.364138014707,10067.069730061909,low
random,5854.766652449593,5913.583588034565,low
random,5972.175449470404,5979.100671697586,low
random,8021.401305660342,8064.926959250632,low
random,5410.153498789267,5448.335225039695,low
random,8304.431976464559,8315.565375614471,low
random,8254.573648622798,8334.154004160897,low
random,6639.325786004315,6703.10290935808,low
