policy,mean_backlog_us,max_backlog_us,load_regime
SIT-safe,2424.4171687702255,2786.795674307199,low
SIT-safe,2483.2231822971626,2662.3051113809925,low
SIT-safe,1975.9210445861856,2355.0569065715536,low
SIT-safe,2245.4394449662154,2618.154783443846,low
SIT-safe,2574.9538962267675,3293.9486179255327,low
SIT-safe,2482.1623336188213,2814.2855280010263,low
SIT-safe,2294.7225656665432,2530.6809134157375,low
SIT-safe,2045.909883142073,2457.853592701169,low
SIT-safe,2318.327288395726,2637.3175130000454,low
SIT-safe,2547.5947326213604,3349.519688087048,low
SIT-safe,2538.478778060826,2950.4262546529353,low
SIT-safe,2402.588387727095,2597.832599669462,low
SIT-safe,1921.7842817221256,2312.2381937117316,low
SIT-safe,2399.3313355491828,2688.5654773297138,low
SIT-safe,2547.8019102483245,3269.2047357581323,low
SIT-safe,2431.8278724925995,2732.0588391248602,low
SIT-safe,2478.6899556734675,2696.5456581698163,low
SIT-safe,1991.0067272991491,2383.01082053344,low
SIT-safe,2251.5896550974476,2562.6249013004126,low
SIT-safe,2611.665708762,3704.4050620670314,low
SIT-safe,2483.385618999523,2890.585933736351,low
SIT-safe,2300.0958463841,2560.6405478530214,low
SIT-safe,2031.4756231358765,2415.2892042309395,low
SIT-safe,2322.4655350657126,2609.2412410894467,low
SIT-safe,2538.685519462526,3348.8429556605406,low
SIT-safe,2542.6881857877834,2921.998969521199,low
SIT-safe,2399.4547922256725,2611.551145030593,low
SIT-safe,1929.3064915911652,2349.856527847529,low
SIT-safe,2392.2401967592536,2755.6849584621377,low
SIT-safe,2559.42468535455,3226.2936443383805,low
SIT-safe,2436.6952952631764,2820.419922099216,low
SIT-safe,2484.534070979653,2693.5222333936254,low
SIT-safe,1974.0085170730783,2348.331910810928,low
SIT-safe,2247.035706834913,2547.9992331829853,low
SIT-safe,2626.492085272327,3382.5293667557708,low
SIT-safe,2472.302055036664,2855.42802537806,low
SIT-safe,2299.7420326194983,2495.7181353894994,low
SIT-safe,2041.7349684222456,2499.8576997302007,low
SIT-safe,2324.0714046425805,2582.3265228029923,low
SIT-safe,2546.098125880484,3167.373085172265,low
SIT-safe,2546.9145278136375,2993.0809620289947,low
SIT-safe,2396.720165825845,2621.480288078543,low
SIT-safe,1929.4508376428382,2367.6252682604245,low
SIT-safe,2398.100224665667,2747.461252720561,low
SIT-safe,2543.969182852963,3330.518816109179,low
SIT-safe,2430.6363439828897,2926.759581847913,low
SIT-safe,2487.6591392498276,2692.316608966561,low
SIT-safe,1976.393926464577,2300.664781033174,low
SIT-safe,2247.665624378393,2585.715731374861,low
SIT-safe,2581.736343269952,3239.7832128634327,low
SIT-safe,2468.6538376836443,2835.0883149836445,low
SIT-safe,2297.6564054897885,2504.1011634041206,low
SIT-safe,2045.0879367463099,2426.859068810125,low
SIT-safe,2330.7773351968463,2612.198353050233,low
SIT-safe,2571.7340387073077,3278.352297387879,low
SIT-safe,2543.6078151647207,2879.780080752127,low
SIT-safe,2393.983125509992,2657.20573793113,low
SIT-safe,1932.1110266508072,2256.414190282376,low
SIT-safe,2389.1473286887704,2684.817655914434,low
SIT-safe,2556.947548741657,3813.877547826618,low
SIT-safe,2437.4506405291345,2870.7103051689337,low
SIT-safe,2486.7536298016958,2685.79894621775,low
SIT-safe,1976.3857750578663,2398.5065515603637,low
SIT-safe,2256.3150070704223,2566.302570214146,low
SIT-safe,2619.365927546627,3379.7000577258877,low
SIT-safe,2487.6075512575544,2838.6265694316244,low
SIT-safe,2295.975375830596,2511.070303690023,low
SIT-safe,2042.2232890259154,2542.4544605670235,low
SIT-safe,2323.5182487089223,2621.194741514395,low
SIT-safe,2537.657228254797,3648.9266562943812,low
SIT-safe,2535.4290609859418,2980.3014058301924,low
