interference_regime,load_regime,compared_to,sit_cvar99,baseline_cvar99,cvar_improvement_pct,sit_effective_goodput_rps,baseline_effective_goodput_rps,goodput_improvement_pct,sit_catastrophes,baseline_catastrophes,fewer_catastrophes,sit_dominates
drifting,medium,static-low,36652.55,34313.44,-6.82,2921.44,1972.67,48.1,0,0,True,False
drifting,medium,static-high,36652.55,46269.76,20.79,2921.44,3116.54,-6.26,0,0,True,False
drifting,medium,k8s-hpa,36652.55,38167.94,3.97,2921.44,3090.64,-5.47,0,0,True,False
drifting,medium,k8s-default,36652.55,37233.23,1.56,2921.44,2864.37,1.99,0,0,True,True
drifting,medium,slurm-fcfs,36652.55,40451.69,9.39,2921.44,2340.42,24.83,0,0,True,True
drifting,medium,triton-proxy,36652.55,44007.68,16.71,2921.44,1952.94,49.59,0,0,True,True
drifting,saturation,SIT-no-IRBS,72947.31,79671.31,8.44,2921.48,2370.77,23.23,0,0,True,True
drifting,saturation,SIT-no-safety,72947.31,79493.72,8.24,2921.48,3516.19,-16.91,0,0,True,False
drifting,saturation,SIT-no-admission,72947.31,76104.29,4.15,2921.48,3248.3,-10.06,0,0,True,False
drifting,saturation,partition,72947.31,65486.43,-11.39,2921.48,1331.79,119.36,0,0,True,False
drifting,saturation,spread,72947.31,70468.68,-3.52,2921.48,1655.82,76.44,0,0,True,True
drifting,saturation,random,72947.31,81150.4,10.11,2921.48,2266.24,28.91,0,0,True,True
drifting,saturation,round-robin,72947.31,80574.34,9.47,2921.48,2316.79,26.1,0,0,True,True
drifting,saturation,binpack-greedy,72947.31,86136.97,15.31,2921.48,2000.76,46.02,0,0,True,True
drifting,saturation,tail-greedy,72947.31,72954.34,0.01,2921.48,2922.62,-0.04,0,0,True,False
drifting,saturation,similarity-avoidance,72947.31,75534.9,3.43,2921.48,2648.16,10.32,0,0,True,True
drifting,saturation,admission-only,72947.31,80991.47,9.93,2921.48,2253.37,29.65,0,0,True,True
drifting,saturation,oracle,72947.31,72943.64,-0.01,2921.48,2922.58,-0.04,0,0,True,False
drifting,saturation,static-low,72947.31,68286.6,-6.83,2921.48,1964.77,48.69,0,0,True,False
drifting,saturation,static-high,72947.31,92133.32,20.82,2921.48,3124.1,-6.49,0,0,True,False
drifting,saturation,k8s-hpa,72947.31,75950.11,3.95,2921.48,3093.45,-5.56,0,0,True,False
