metric,policy,baseline,interference_regime,load_regime,mean_diff,ci_lo,ci_hi,p_value,cohens_d,n,q_value,significant
cvar99_us,triton-proxy,partition,heavy_tail_burst,high,5798.8329,-109015.1285,92651.8883,0.41,0.0081,200,0.736466,False
cvar99_us,SIT-safe,partition,heavy_tail_burst,low,1935.5057,-3242.2143,7000.3331,0.224,0.0539,200,0.44645,False
cvar99_us,SIT-no-IRBS,partition,heavy_tail_burst,low,3255.863,-999.1182,7702.5563,0.071,0.1008,200,0.15629,False
cvar99_us,SIT-no-safety,partition,heavy_tail_burst,low,5811.9605,559.5752,11384.6889,0.014,0.1509,200,0.03314,True
cvar99_us,SIT-no-admission,partition,heavy_tail_burst,low,4604.0487,-220.0381,10030.8446,0.032,0.1223,200,0.073143,False
cvar99_us,spread,partition,heavy_tail_burst,low,80.6664,-4335.5173,4454.8797,0.484,0.0026,200,0.837189,False
cvar99_us,random,partition,heavy_tail_burst,low,2685.1247,-1946.5098,7044.3951,0.119,0.0835,200,0.250771,False
cvar99_us,round-robin,partition,heavy_tail_burst,low,4596.6529,2.7243,9287.7787,0.025,0.1296,200,0.057677,False
cvar99_us,binpack-greedy,partition,heavy_tail_burst,low,7736.1768,3225.2306,12690.5065,0.001,0.2201,200,0.004454,True
cvar99_us,tail-greedy,partition,heavy_tail_burst,low,-1795.2357,-6270.8732,2454.4983,0.217,-0.0575,200,0.434503,False
cvar99_us,similarity-avoidance,partition,heavy_tail_burst,low,-250.6179,-4874.7809,3849.8883,0.449,-0.0081,200,0.795766,False
cvar99_us,admission-only,partition,heavy_tail_burst,low,4944.0683,239.4254,9254.1228,0.021,0.1469,200,0.048906,True
cvar99_us,oracle,partition,heavy_tail_burst,low,4319.3638,-1104.5543,9923.104,0.07,0.1089,200,0.154483,False
cvar99_us,static-low,partition,heavy_tail_burst,low,1115.6159,-4249.6738,6126.0146,0.297,0.031,200,0.57024,False
cvar99_us,static-high,partition,heavy_tail_burst,low,6628.322,1763.5721,11045.2006,0.006,0.1976,200,0.01432,True
cvar99_us,k8s-hpa,partition,heavy_tail_burst,low,483.8308,-4015.3469,4567.2375,0.397,0.0156,200,0.719849,False
cvar99_us,k8s-default,partition,heavy_tail_burst,low,3015.8954,-1987.4528,8293.363,0.109,0.0812,200,0.231391,False
cvar99_us,slurm-fcfs,partition,heavy_tail_burst,low,3151.951,-1308.6547,7198.7032,0.084,0.1018,200,0.181895,False
cvar99_us,triton-proxy,partition,heavy_tail_burst,low,5740.8114,1383.7708,10094.1841,0.006,0.1815,200,0.01434,True
cvar99_us,SIT-safe,partition,heavy_tail_burst,medium,-8798.7401,-21374.6499,1868.0408,0.053,-0.1052,200,0.118632,False
cvar99_us,SIT-no-IRBS,partition,heavy_tail_burst,medium,1442.4074,-10721.8767,13011.8885,0.402,0.0163,200,0.725111,False
cvar99_us,SIT-no-safety,partition,heavy_tail_burst,medium,11.0616,-12533.1664,11282.0932,0.452,0.0001,200,0.79781,False
cvar99_us,SIT-no-admission,partition,heavy_tail_burst,medium,-3073.2216,-16117.6771,9272.6703,0.321,-0.0337,200,0.610218,False
cvar99_us,spread,partition,heavy_tail_burst,medium,-11454.3871,-23144.8893,-1080.1206,0.015,-0.1393,200,0.035458,True
cvar99_us,random,partition,heavy_tail_burst,medium,-4555.3144,-15848.4131,5570.7754,0.201,-0.0585,200,0.408141,False
cvar99_us,round-robin,partition,heavy_tail_burst,medium,2058.3299,-10453.0324,14015.0186,0.347,0.0232,200,0.648234,False
